Key,weightNO3,iteration,weightNH4,weightNO2,Hybrid2 (nM/day),Feature,Nitrification (nM/day),f,Denit fromNO2- (nM/day),cost,Denit from NO3- (nM/day),Station,Denit from NO2- (nM/day)
PS2Deep ODZ core,0.45,59,0.45,0.1,0.0176612034138495,Deep ODZ core,0.0002762138806294,0.4971533975048676,,3.6989806750630665,0.1839234762584174,PS2,0.0053442438219964
PS2Deep ODZ core,0.45,60,0.45,0.1,0.0046581089349545,Deep ODZ core,0.0,0.3095627280101743,,3.910335065808893,0.1795328424017671,PS2,0.0050427825454402
PS2Deep ODZ core,0.45,73,0.45,0.1,0.0047022359196386,Deep ODZ core,0.0,0.0,,4.1479244575116105,0.2398539585505393,PS2,0.005422948503591
PS2Deep ODZ core,0.45,64,0.45,0.1,0.0050081366893598,Deep ODZ core,0.0,0.3233694087305711,,4.357990929551404,0.154630603310159,PS2,0.0053423445092378
PS2Deep ODZ core,0.45,61,0.45,0.1,0.0038468652005724,Deep ODZ core,0.0,0.2676383795680783,,4.665135312532626,0.1695135852041702,PS2,0.0049575548653168
PS2Deep ODZ core,0.45,75,0.45,0.1,0.0047972520026706,Deep ODZ core,0.0,0.0,,3.989624459276288,0.189477378340299,PS2,0.0055548539842161
PS2Deep ODZ core,0.45,62,0.45,0.1,0.006570048228729,Deep ODZ core,0.0,0.400049927373164,,4.160090047763099,0.2236892004834,PS2,0.0049986041081518
PS2Deep ODZ core,0.45,78,0.45,0.1,0.0,Deep ODZ core,0.0,0.8964353479628291,,4.187521112002704,0.2153377300930535,PS2,0.0049827859667273
PS2Deep ODZ core,0.45,77,0.45,0.1,0.0075860907692581,Deep ODZ core,0.0,0.0,,4.406075345494347,0.2095314021487846,PS2,0.0048980077171023
PS2Deep ODZ core,0.45,76,0.45,0.1,0.0051609092723604,Deep ODZ core,0.0,0.3277906078215284,,3.945627398503556,0.1785234342131327,PS2,0.0053729450672157
PS2Deep ODZ core,0.45,57,0.45,0.1,0.0087638385145387,Deep ODZ core,0.0022792373558999,0.4441038224215127,,3.491429198834697,0.1812407358891263,PS2,0.0048929419765594
PS2Deep ODZ core,0.45,66,0.45,0.1,0.0,Deep ODZ core,0.003584695709242,0.3366781032294924,,3.821247528870102,0.1987707950294751,PS2,0.0049450288406179
PS2Deep ODZ core,0.45,89,0.45,0.1,1.804015496901361e-05,Deep ODZ core,7.749385161984836e-05,0.0,,4.799557020442343,0.1608568614744311,PS2,0.0048701759108282
PS2Deep ODZ core,0.45,74,0.45,0.1,0.0017932538469778,Deep ODZ core,0.0,0.0,,4.539515042220614,0.1900526725318219,PS2,0.006295215355416
PS2Deep ODZ core,0.45,87,0.45,0.1,0.0,Deep ODZ core,9.209816426983272e-05,0.0,,4.085838965974905,0.2565962220616641,PS2,0.005570634099713
PS2Deep ODZ core,0.45,54,0.45,0.1,0.0042893099475968,Deep ODZ core,0.0056341563911663,0.3007096917341958,,4.230945559579695,0.1505361003312483,PS2,0.0048297581218294
PS2Deep ODZ core,0.45,86,0.45,0.1,0.0043279717990726,Deep ODZ core,0.0,0.0,,4.047606014943085,0.2073258441919954,PS2,0.005265553369674
PS2Deep ODZ core,0.45,72,0.45,0.1,0.0051395528249141,Deep ODZ core,0.0,0.345152327028109,,3.9104315190485184,0.2073606893329982,PS2,0.0051473833577631
PS2Deep ODZ core,0.45,70,0.45,0.1,0.0054816357522784,Deep ODZ core,0.0,0.328645788629783,,3.899329806231614,0.1560665139659662,PS2,0.0052899538439047
PS2Deep ODZ core,0.45,94,0.45,0.1,0.0002695540240911,Deep ODZ core,0.0,0.0,,4.062778389179428,0.1856542293877157,PS2,0.0050719001269666
PS2Deep ODZ core,0.45,96,0.45,0.1,0.0,Deep ODZ core,0.0001377039167703,0.0,,4.058871141976091,0.2634076391978985,PS2,0.005737801578039
PS2Deep ODZ core,0.45,95,0.45,0.1,0.0007882582807479,Deep ODZ core,1.0731791158592808e-07,0.0,,4.532846916056831,0.1363491806178659,PS2,0.00552749972729
PS2Deep ODZ core,0.45,82,0.45,0.1,0.0035466045976228,Deep ODZ core,0.0,0.2585078966718829,,4.122895768756285,0.2615886533252567,PS2,0.0048907661263386
PS2Deep ODZ core,0.45,81,0.45,0.1,0.0044183787358844,Deep ODZ core,0.0,0.284598169553673,,4.068221992288674,0.2361143852637176,PS2,0.0053112178795314
PS2Deep ODZ core,0.45,84,0.45,0.1,0.0021502014578783,Deep ODZ core,0.0,0.0427673342913702,,4.102664707996681,0.1653672014093587,PS2,0.00495805335594
PS2Deep ODZ core,0.45,83,0.45,0.1,0.0032371151035155,Deep ODZ core,0.0,0.2228011090099676,,4.159790505828315,0.2706138399853949,PS2,0.0051555813157872
PS2Deep ODZ core,0.45,80,0.45,0.1,0.014974091344897,Deep ODZ core,0.0,0.4999805552164617,,4.217049838660111,0.3025448452579269,PS2,0.0053378171116231
PS2Deep ODZ core,0.45,79,0.45,0.1,0.0175040661015992,Deep ODZ core,0.0,0.4977513390807392,,3.702997975291906,0.1484433634595809,PS2,0.0052888150238829
PS2Deep ODZ core,0.45,88,0.45,0.1,0.0038516531767608,Deep ODZ core,0.0,0.2578500856635438,,4.64924554752092,0.2018426457155292,PS2,0.0053151262411155
PS2Deep ODZ core,0.45,91,0.45,0.1,0.0031440786451624,Deep ODZ core,0.0,0.2220080579575987,,4.423001176621244,0.1846195944288679,PS2,0.0047130250489881
PS2Deep ODZ core,0.45,93,0.45,0.1,0.0056779903115945,Deep ODZ core,0.0,0.3537255723634203,,4.443506739864265,0.2470529752033833,PS2,0.0054168647817764
PS2Deep ODZ core,0.45,90,0.45,0.1,0.0166211873174614,Deep ODZ core,0.0,0.4980774389365381,,3.5873483982842385,0.1982274173182433,PS2,0.0052575060004843
PS2Deep ODZ core,0.45,85,0.45,0.1,0.0156778943952591,Deep ODZ core,0.0,0.4979603083282122,,3.77341910199528,0.2999828706520682,PS2,0.0051011382153316
PS2Deep ODZ core,0.45,92,0.45,0.1,0.0168585845481578,Deep ODZ core,0.0,0.4978232233984265,,3.4930356353208665,0.2122325809557456,PS2,0.0051913560581838
PS2Deep ODZ core,0.45,97,0.45,0.1,0.0052956101287508,Deep ODZ core,0.0,0.3413871775104191,,3.8865677644975993,0.1755081904897945,PS2,0.0052287458814462
PS2Deep ODZ core,0.45,98,0.45,0.1,0.0045856170964136,Deep ODZ core,0.0,0.3033040344516197,,4.059951211362965,0.1945523583193054,PS2,0.0053323762772268
PS2Deep ODZ core,0.45,99,0.45,0.1,0.021136638076085595,Deep ODZ core,0.0,0.4938968729553519,,3.975295689821293,0.19301118287773666,PS2,0.005316064204024471
