Key,cost,Denit fromNO2- (nM/day),weightNH4,iteration,f,Nitrification (nM/day),weightNO3,weightNO2,Hybrid2 (nM/day),Station,Feature,Denit from NO3- (nM/day),Denit from NO2- (nM/day)
PS3SCM,29.23041492146299,,0.45,27,0.0348722753284721,0.0111757319045187,0.45,0.1,0.1357461228251652,PS3,SCM,2.087029620279585,0.4542197011185726
PS3SCM,31.45259636511204,,0.45,46,0.3852771638675777,0.0,0.45,0.1,0.1757628672576775,PS3,SCM,1.9315935631823675,0.5422458032758413
PS3SCM,29.185419341080305,,0.45,42,0.1340576030577255,0.0094217463887235,0.45,0.1,0.1612702438894634,PS3,SCM,1.7719560862278745,0.4409243932625989
PS3SCM,30.12971831570751,,0.45,38,0.3500595669282595,0.0116604947137864,0.45,0.1,0.2093108310748451,PS3,SCM,1.0848609005749963,0.5034765672270923
PS3SCM,29.1708191986091,,0.45,35,0.0,0.0112050783257904,0.45,0.1,0.1442587005724339,PS3,SCM,1.373670353798594,0.4806944714256089
PS3SCM,30.14457176874878,,0.45,48,0.3850725564928937,0.0074366100292933,0.45,0.1,0.1663377303846723,PS3,SCM,1.7454294042310456,0.5027588449194362
PS3SCM,30.306454201848013,,0.45,40,0.405217513993679,0.0124239466219074,0.45,0.1,0.1669556258112625,PS3,SCM,2.009306277081449,0.5397598378477916
PS3SCM,30.870052232810856,,0.45,44,0.4646467335854868,0.0061097157032789,0.45,0.1,0.1038675202253335,PS3,SCM,2.0657201621065675,0.5768887241072047
PS3SCM,30.4785224691927,,0.45,52,0.4289075914908296,0.0081715166839309,0.45,0.1,0.1573686593577407,PS3,SCM,1.360253382554646,0.5304148211455469
PS3SCM,30.33738391087629,,0.45,57,0.3817530515517962,0.0075821137566123,0.45,0.1,0.160969698938729,PS3,SCM,1.7900651168586652,0.4788425891246254
PS3SCM,29.758340438746576,,0.45,45,0.3406831875403425,0.0080681632766044,0.45,0.1,0.1654600940090645,PS3,SCM,1.9875612713617103,0.4851315053064198
PS3SCM,29.40533747941098,,0.45,43,0.025658582087671,0.0096881519193657,0.45,0.1,0.1422564415811579,PS3,SCM,1.4191289068896158,0.4878267027940929
PS3SCM,30.20822514162568,,0.45,47,0.3903032176479571,0.0076653270710377,0.45,0.1,0.1699140449765427,PS3,SCM,1.4979455708704543,0.5569873665160023
PS3SCM,30.4916679075791,,0.45,53,0.4308743226379578,0.0060843351994502,0.45,0.1,0.127478292455452,PS3,SCM,1.8049327558683643,0.5228428053042852
PS3SCM,30.37350404765425,,0.45,49,0.3978310424194881,0.0070230732544023,0.45,0.1,0.1589567514838291,PS3,SCM,1.680208082478411,0.507247814529205
PS3SCM,30.29144934469732,,0.45,51,0.4003319612371601,0.0077341584482584,0.45,0.1,0.1610823054724135,PS3,SCM,1.6393034535567683,0.5582221584212211
PS3SCM,30.206032773063026,,0.45,50,0.3889603989395576,0.007442501825103,0.45,0.1,0.1470696965380816,PS3,SCM,1.47737074174676,0.507345484373496
